Lat,Long,CrimeCount
-2.671574,53.534103,1
-2.671515,53.596115,4
-2.671427,53.537187,1
-2.671216,53.549637,4
-2.671081,53.54206,8
-2.671061,53.516902,1
-2.669939,53.521339,1
-2.669853,53.538804,2
-2.669687,53.522581,3
-2.669655,53.523426,1
-2.669632,53.58977,1
-2.669597,53.534042,1
-2.669525,53.595425,1
-2.669496,53.525782,1
-2.668957,53.53365,1
-2.668949,53.538872,1
-2.668789,53.537363,1
-2.668691,53.58663,1
-2.668598,53.531926,1
-2.668535,53.541347,3
-2.668414,53.549949,2
-2.667684,53.533307,1
-2.667464,53.548058,4
-2.667397,53.536131,1
-2.667328,53.54138,1
-2.667171,53.537148,1
-2.667129,53.542118,1
-2.667114,53.550801,5
-2.667086,53.549004,1
-2.666942,53.525464,1
-2.666912,53.536987,2
-2.666902,53.536349,1
-2.66686,53.549994,1
-2.666795,53.532422,1
-2.666565,53.549492,1
-2.66649,53.587891,1
-2.666221,53.562168,1
-2.666129,53.540956,5
-2.665983,53.531644,2
-2.6657,53.51934,1
-2.665686,53.55214,7
-2.665612,53.539727,8
-2.665492,53.537849,1
-2.665451,53.53909,1
-2.665416,53.546433,7
-2.665403,53.54176,5
-2.665361,53.532367,1
-2.665228,53.550857,2
-2.665216,53.534678,1
-2.665195,53.556394,1
-2.665054,53.521438,1
-2.664992,53.561761,3
-2.66496,53.520261,2
-2.664466,53.551346,1
-2.664422,53.536983,1
-2.664407,53.535051,1
-2.664379,53.563086,1
-2.664359,53.583005,1
-2.664275,53.562224,1
-2.664146,53.516428,1
-2.664094,53.532383,1
-2.664048,53.54485,2
-2.663997,53.542549,1
-2.663936,53.586881,1
-2.663753,53.543396,1
-2.663656,53.499577,1
-2.663573,53.589741,5
-2.663338,53.520729,3
-2.663243,53.503067,2
-2.663015,53.54828,1
-2.662981,53.586679,2
-2.662792,53.539797,3
-2.662647,53.588452,1
-2.662517,53.583051,1
-2.66224,53.520888,2
-2.662235,53.537993,11
-2.662178,53.546883,2
-2.662059,53.54603,5
-2.661911,53.536575,1
-2.661831,53.51787,1
-2.661825,53.585194,1
-2.661639,53.557816,3
-2.661604,53.580719,2
-2.661454,53.591443,1
-2.661446,53.546393,2
-2.661382,53.538447,2
-2.660758,53.539071,1
-2.6605,53.544744,1
-2.660435,53.551243,2
-2.660242,53.5447,1
-2.660241,53.585319,1
-2.660197,53.535955,1
-2.660147,53.538607,1
-2.659985,53.584431,1
-2.659576,53.557198,1
-2.659358,53.524706,1
-2.659029,53.584149,2
-2.658819,53.586136,1
-2.658587,53.544997,5
-2.658252,53.561313,1
-2.658238,53.580827,1
-2.658225,53.555687,3
-2.658073,53.526439,1
-2.657927,53.536534,3
-2.657878,53.58491,1
-2.657831,53.523483,1
-2.657723,53.559339,2
-2.6575,53.561515,1
-2.657394,53.543952,7
-2.657266,53.52114,5
-2.657165,53.542839,6
-2.657132,53.557239,3
-2.657099,53.560978,1
-2.656926,53.526418,1
-2.656914,53.52374,1
-2.656813,53.527929,1
-2.656792,53.500208,1
